condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-1,-2,5
easy,0.7,0,1,1,5
easy,0.7,1,4,4,4
easy,0.3,0,-4,-4,6
easy,0.7,1,2,2,4
easy,0.3,0,-3,-3,3
easy,0.3,0,-3,-3,5
easy,0.3,0,-3,-3,3
easy,0.3,0,0,1,6
easy,0.3,0,-2,-2,4
easy,0.3,0,0,1,4
easy,0.7,0,1,1,7
easy,0.7,1,4,4,4
easy,0.7,0,-2,-2,4
easy,0.7,1,2,2,2
easy,0.3,0,-3,-3,5
easy,0.3,0,-1,-1,5
easy,0.3,0,-2,-2,4
easy,0.7,1,3,3,3
easy,0.7,1,2,2,2
easy,0.7,1,1,1,3
easy,0.7,1,2,2,2
easy,0.3,0,-3,-3,5
easy,0.7,0,0,1,6
easy,0.7,1,3,3,3
easy,0.7,0,-2,-2,4
easy,0.3,0,-3,-3,3
easy,0.7,1,1,1,9
easy,0.3,0,-3,-3,7
easy,0.3,0,-1,-1,5
easy,0.3,0,-2,-2,6
easy,0.7,1,2,2,4
easy,0.7,1,1,2,5
easy,0.3,0,-3,-3,5
easy,0.3,0,-3,-3,3
easy,0.7,0,-2,-2,4
easy,0.7,1,3,3,3
easy,0.3,0,-3,-3,3
easy,0.7,1,3,3,3
easy,0.3,0,-2,-2,2
easy,0.3,1,-3,-3,5
easy,0.7,1,1,1,3
easy,0.3,1,3,3,5
easy,0.7,1,3,3,5
easy,0.7,1,4,4,8
easy,0.3,0,-3,-3,3
easy,0.3,0,-2,-2,4
easy,0.7,1,3,3,5
easy,0.3,0,-4,-4,6
easy,0.7,1,1,2,5
easy,0.7,1,2,2,8
easy,0.7,1,3,3,5
easy,0.7,1,3,3,3
easy,0.3,0,0,2,8
easy,0.7,1,3,3,5
easy,0.7,1,3,3,3
easy,0.7,1,3,3,7
easy,0.7,1,1,1,5
easy,0.3,0,-3,-3,3
easy,0.7,0,1,1,7
easy,0.7,1,2,2,8
easy,0.3,0,-2,-3,4
easy,0.7,1,1,1,5
easy,0.3,0,-3,-3,3
easy,0.7,1,2,2,6
easy,0.7,1,2,2,6
easy,0.3,1,2,2,4
easy,0.3,0,-2,-2,6
easy,0.3,0,-2,-2,6
easy,0.3,0,-1,-2,7
easy,0.3,0,-2,-2,4
easy,0.7,1,3,3,3
easy,0.7,1,2,2,2
easy,0.3,1,2,2,2
easy,0.3,0,-3,-3,3
easy,0.7,1,2,2,4
easy,0.3,0,-3,-3,5
easy,0.3,0,-3,-3,3
easy,0.7,1,2,2,6
easy,0.7,1,2,2,4
