condition,coherence,decision,evidence,high_evidence,time
easy,0.7,1,7,7,11
easy,0.3,0,-6,-6,8
easy,0.3,0,-6,-6,8
easy,0.3,1,0,3,14
easy,0.3,0,-9,-9,23
easy,0.3,0,-5,-5,9
easy,0.3,1,5,5,19
easy,0.7,1,3,3,7
easy,0.7,1,4,4,16
easy,0.3,0,-6,-6,14
easy,0.7,1,5,5,11
easy,0.7,1,5,5,7
easy,0.7,1,5,5,9
easy,0.3,0,-5,-6,7
easy,0.3,0,-7,-7,29
easy,0.3,0,-4,-4,10
easy,0.3,0,-6,-6,6
easy,0.3,0,-3,-3,7
easy,0.7,1,3,3,5
easy,0.7,1,5,5,5
easy,0.3,0,-5,-5,9
easy,0.3,0,-5,-5,13
easy,0.3,0,-9,-9,15
easy,0.3,0,-5,-5,5
easy,0.3,0,-5,-5,5
easy,0.7,1,4,4,4
easy,0.7,1,2,4,20
easy,0.3,1,0,2,8
easy,0.7,1,5,5,9
easy,0.7,1,4,4,4
easy,0.7,1,6,6,10
easy,0.7,1,4,4,4
easy,0.7,1,3,3,9
easy,0.3,0,-5,-5,7
easy,0.7,1,2,2,18
easy,0.7,1,2,2,16
easy,0.7,1,5,5,5
easy,0.3,0,-4,-4,4
easy,0.7,1,3,3,9
easy,0.3,1,2,3,8
easy,0.3,0,-4,-4,4
easy,0.7,1,3,3,5
easy,0.7,1,8,8,18
easy,0.3,0,-6,-6,6
easy,0.3,0,-6,-6,28
easy,0.3,0,-5,-5,5
easy,0.7,1,4,4,4
easy,0.3,1,2,3,10
easy,0.3,0,-7,-7,19
easy,0.7,1,4,4,20
easy,0.3,0,-7,-7,13
easy,0.3,0,-3,-4,13
easy,0.7,1,3,4,5
easy,0.7,1,2,3,26
easy,0.3,0,-3,-3,11
easy,0.3,0,-7,-7,11
easy,0.7,1,5,5,11
easy,0.7,1,5,5,9
easy,0.3,1,-4,-7,30
easy,0.3,0,-5,-5,7
easy,0.7,1,5,5,5
easy,0.3,0,-6,-6,10
easy,0.7,1,6,6,8
easy,0.7,1,5,5,13
easy,0.3,0,-6,-7,14
easy,0.3,0,-6,-6,18
easy,0.7,1,7,7,9
easy,0.3,0,-6,-7,20
easy,0.7,1,5,5,17
diff,0.5,0,1,2,3
diff,0.5,1,-1,-1,3
diff,0.5,1,-1,-1,1
diff,0.5,1,1,1,1
diff,0.5,0,-1,-1,1
diff,0.5,0,1,1,1
