condition,coherence,decision,evidence,high_evidence,time
easy,0.3,0,-3,-4,9
easy,0.7,1,6,6,6
easy,0.3,0,-6,-6,14
easy,0.3,0,-7,-7,9
easy,0.3,0,-5,-5,7
easy,0.3,0,-5,-5,5
easy,0.3,0,-3,-3,5
easy,0.7,1,5,5,9
easy,0.3,1,-1,-2,21
easy,0.3,0,-5,-5,7
easy,0.3,0,-5,-5,5
easy,0.3,0,-4,-4,4
easy,0.3,0,-4,-4,4
easy,0.3,0,-3,-4,13
easy,0.3,0,-6,-6,6
easy,0.3,0,-5,-5,7
easy,0.3,1,1,2,7
easy,0.7,1,5,5,13
easy,0.7,1,2,3,14
easy,0.3,0,-4,-4,4
easy,0.7,0,-3,-3,9
easy,0.3,0,-5,-5,5
easy,0.7,1,4,4,8
easy,0.7,0,3,3,23
easy,0.3,0,-4,-4,4
easy,0.3,0,-4,-4,4
easy,0.3,0,-7,-7,11
easy,0.7,1,5,5,7
easy,0.3,0,-3,-3,5
easy,0.3,0,-6,-6,10
easy,0.7,1,4,5,10
easy,0.3,0,-6,-6,8
easy,0.7,1,4,4,12
easy,0.3,1,0,3,12
easy,0.7,1,5,5,7
easy,0.7,1,4,5,6
easy,0.3,0,-3,-3,7
easy,0.7,1,2,2,24
easy,0.3,0,-8,-8,8
easy,0.3,0,-5,-5,5
easy,0.7,1,5,5,13
easy,0.3,0,-2,-3,6
easy,0.7,1,4,5,8
easy,0.3,0,-6,-6,12
easy,0.3,1,-6,-6,10
easy,0.7,1,6,6,16
easy,0.7,1,7,7,9
easy,0.3,0,-4,-5,6
easy,0.7,1,3,4,11
easy,0.7,1,5,5,5
easy,0.7,1,6,6,8
easy,0.3,0,-6,-6,18
easy,0.3,0,-5,-5,11
easy,0.3,1,4,4,6
easy,0.7,0,-2,-3,4
easy,0.3,0,-4,-4,8
easy,0.3,0,-4,-4,8
easy,0.7,0,4,5,18
easy,0.3,0,-5,-5,5
easy,0.3,0,-4,-4,8
easy,0.3,0,-5,-5,5
easy,0.3,0,-3,-3,13
easy,0.7,1,5,5,5
easy,0.3,0,-6,-6,16
easy,0.7,1,6,6,8
easy,0.7,1,3,3,9
easy,0.3,0,-5,-5,5
easy,0.3,0,-4,-4,4
easy,0.3,0,-8,-8,10
easy,0.3,0,-2,-4,6
easy,0.7,1,6,6,14
easy,0.3,0,-2,-3,4
diff,0.5,1,1,2,9
diff,0.5,1,-3,-3,7
diff,0.5,1,5,5,9
diff,0.5,0,-3,-4,15
diff,0.5,1,7,7,11
diff,0.5,0,-5,-5,19
diff,0.5,1,-8,-9,46
diff,0.5,1,0,2,6
diff,0.5,0,-2,-2,8
